,name,category,project,guest,bedroom,bathroom,price,discounted,normal price,province,state,country
0,San's Home [Sharing home],Condominium,Nam Trung Yên,2,1,1,13,0,Invalid,Cầu Giấy,Hà Nội,Vietnam
1,Chillin House,Service Apartment,Vũng Tàu Melody,12,3,2,47,1,58,Vũng Tàu,Bà Rịa Vũng Tàu,Vietnam
2,MLibrary Pentstudio Apartment West Lake with Panorama View,None,None,6,1,1,74,0,Invalid,Tây Hồ,Hà Nội,Vietnam
3,Win Aparment Studio Tiêu chuẩn (Min 2 night) #1,Studio Apartment,None,3,1,1,11,0,Invalid,Sơn Trà,Đà Nẵng,Vietnam
4,✦Luxury Villa 6BR✦Thao Dien Dist 2✦Bathtub✦Big yard✦Sai Gon River View [Sweethost],Villa,None,16,6,8,275,1,305,Quận 2,Hồ Chí Minh,Vietnam
5,1 Bedroom with 15-minute walk to Xuan Huong Lake,Entire House,None,4,1,1,10,0,Invalid,Đà Lạt,Lâm Đồng,Vietnam
6,Ann Retreat Resort Hội An- Phòng Grand Deluxe Cổ Điển View Sông Thu Bồn,None,None,3,1,1,49,1,61,Hội An,Quảng Nam,Vietnam
7,[BrotherhooD] Luxury Apartment 2BR / Big Balcony / 15 minutes to Hoan Kiem Lake,Other,None,6,2,1,39,0,Invalid,Thanh Xuân,Hà Nội,Vietnam
8,LINH HOMIE - Room with Window View,Other,None,2,1,1,12,0,Invalid,Hải Châu,Đà Nẵng,Vietnam
9,"Fika No.1 ♥️ Free Breakfast, Netflix ♡  District 1",Studio Apartment,None,4,1,1,26,1,30,Quận 1,Hồ Chí Minh,Vietnam
10,An Bang Memory 4 bedroom-Cottage at An Bang Beach,Villa,None,12,4,4,96,1,113,Hội An,Quảng Nam,Vietnam
11,Thị Trấn Nhỏ Homestay - Phòng nhà xây trắng,Entire House,None,2,1,1,12,0,Invalid,Đà Lạt,Lâm Đồng,Vietnam
12,Palm Luxury BeachSide Saltwater Pool Villa,Villa,None,20,5,5,217,0,Invalid,Vũng Tàu,Bà Rịa Vũng Tàu,Vietnam
13,A5 Melody Vung Tau Homestay (Smarthome),Condominium,Vũng Tàu Melody,4,2,1,17,1,22,Vũng Tàu,Bà Rịa Vũng Tàu,Vietnam
14,Mimi House - Studio with Private Patio,Studio Apartment,None,2,1,1,30,0,Invalid,Hội An,Quảng Nam,Vietnam
15,Anna House - Newly modern room in the center (01),Entire House,None,2,1,1,13,0,Invalid,Hải Châu,Đà Nẵng,Vietnam
16,Dear Homie Central Hotel,Other,None,2,1,1,17,0,Invalid,Quận 1,Hồ Chí Minh,Vietnam
17,Merry Yard Homestay Dalat - 008,Other,None,2,1,1,11,0,Invalid,Đà Lạt,Lâm Đồng,Vietnam
18,"Lovely&Modern 2Brs Apt w/ Park View,Free Pool&Gym",Service Apartment,None,6,2,2,49,1,61,Phú Nhuận,Hồ Chí Minh,Vietnam
19,"Căn hộ gần sông Hàn, có ban công, view phố, smarthome 22",Studio Apartment,None,2,1,1,17,0,Invalid,Ngũ Hành Sơn,Đà Nẵng,Vietnam
20,San's Home [Sharing home],Condominium,Nam Trung Yên,2,1,1,13,0,Invalid,Cầu Giấy,Hà Nội,Vietnam
21,Chillin House,Service Apartment,Vũng Tàu Melody,12,3,2,47,1,58,Vũng Tàu,Bà Rịa Vũng Tàu,Vietnam
22,MLibrary Pentstudio Apartment West Lake with Panorama View,None,None,6,1,1,74,0,Invalid,Tây Hồ,Hà Nội,Vietnam
23,Win Aparment Studio Tiêu chuẩn (Min 2 night) #1,Studio Apartment,None,3,1,1,11,0,Invalid,Sơn Trà,Đà Nẵng,Vietnam
24,✦Luxury Villa 6BR✦Thao Dien Dist 2✦Bathtub✦Big yard✦Sai Gon River View [Sweethost],Villa,None,16,6,8,275,1,305,Quận 2,Hồ Chí Minh,Vietnam
25,1 Bedroom with 15-minute walk to Xuan Huong Lake,Entire House,None,4,1,1,10,0,Invalid,Đà Lạt,Lâm Đồng,Vietnam
26,Ann Retreat Resort Hội An- Phòng Grand Deluxe Cổ Điển View Sông Thu Bồn,None,None,3,1,1,49,1,61,Hội An,Quảng Nam,Vietnam
27,[BrotherhooD] Luxury Apartment 2BR / Big Balcony / 15 minutes to Hoan Kiem Lake,Other,None,6,2,1,39,0,Invalid,Thanh Xuân,Hà Nội,Vietnam
28,LINH HOMIE - Room with Window View,Other,None,2,1,1,12,0,Invalid,Hải Châu,Đà Nẵng,Vietnam
29,"Fika No.1 ♥️ Free Breakfast, Netflix ♡  District 1",Studio Apartment,None,4,1,1,26,1,30,Quận 1,Hồ Chí Minh,Vietnam
30,An Bang Memory 4 bedroom-Cottage at An Bang Beach,Villa,None,12,4,4,118,1,139,Hội An,Quảng Nam,Vietnam
31,Thị Trấn Nhỏ Homestay - Phòng nhà xây trắng,Entire House,None,2,1,1,12,0,Invalid,Đà Lạt,Lâm Đồng,Vietnam
32,Palm Luxury BeachSide Saltwater Pool Villa,Villa,None,20,5,5,217,0,Invalid,Vũng Tàu,Bà Rịa Vũng Tàu,Vietnam
33,A5 Melody Vung Tau Homestay (Smarthome),Condominium,Vũng Tàu Melody,4,2,1,17,1,22,Vũng Tàu,Bà Rịa Vũng Tàu,Vietnam
34,Mimi House - Studio with Private Patio,Studio Apartment,None,2,1,1,30,0,Invalid,Hội An,Quảng Nam,Vietnam
35,Anna House - Newly modern room in the center (01),Entire House,None,2,1,1,13,0,Invalid,Hải Châu,Đà Nẵng,Vietnam
36,Dear Homie Central Hotel,Other,None,2,1,1,17,0,Invalid,Quận 1,Hồ Chí Minh,Vietnam
37,Merry Yard Homestay Dalat - 008,Other,None,2,1,1,13,0,Invalid,Đà Lạt,Lâm Đồng,Vietnam
